location,new_cases,reproduction_rate,gdp_per_capita,stringency_index,total_cases,population
Slovakia,1596.1926369863013,0.9855740922473012,30155.152000000002,39.741320930232554,824644.849909584,5643455.0
Cape Verde,54.10179640718563,0.9817838939857289,6222.554,47.465348837209305,34731.854395604394,593162.0
Dominican Republic,565.3105218135158,0.9787217305801377,14600.860999999999,45.92154418604652,364380.8313796213,11228821.0
Senegal,76.07613344739093,0.9776976284584981,2470.58,31.481637209302328,54237.85135135135,17316452.0
Zimbabwe,226.16852010265183,0.9776736842105263,1899.775,59.403004651162796,130232.54170485793,16320539.0
Myanmar,542.3156544054748,0.9773684210526316,5591.597,64.97950697674419,348341.60018382355,54179312.0
Moldova,526.9407725321888,0.9762561576354679,5189.972,41.966679069767444,313753.05520361994,3272993.0
Azerbaijan,709.1625320786998,0.9759881422924902,15847.419,61.37413953488372,448134.57823741005,10358078.0
Iraq,2109.1060735671513,0.9739707317073171,15663.985999999999,59.520930232558136,1453803.4762757386,44496124.0
Ukraine,4650.694087403599,0.9738696939782823,7894.392999999999,43.8058976744186,2778989.133453562,39701744.0
Argentina,8592.77758768178,0.969852652259332,18933.907,53.454139534883716,5185585.745257452,45510324.0
Bahamas,32.07100085543199,0.9666561844863732,27717.847,56.860241860465116,19861.503196347032,409989.0
Colombia,5486.204134366925,0.9652254901960784,13254.949,51.64713488372093,3850544.846781505,51874028.0
Pakistan,1349.6142001710864,0.9649169110459433,5034.708,53.27613953488372,975823.4349775785,235824864.0
Tunisia,985.730308219178,0.9626331360946746,10849.297,50.333637209302324,587195.4117117117,12356116.0
Mauritania,54.361301369863014,0.9596450939457203,3597.633,36.973423255813955,34330.867941712204,4736146.0
Jamaica,132.0923866552609,0.9596068548387097,8193.571,55.42737674418605,75952.20090909091,2827382.0
Malawi,75.95034246575342,0.9584453781512604,1095.042,43.194706976744186,51201.15120593692,20405318.0
Fiji,58.93755346449957,0.9583116883116884,8702.975,55.07908837209302,34050.07502287283,929769.0
Belize,60.64212328767123,0.9534470989761092,7824.361999999999,48.951851162790696,31771.910763569456,405285.0
Kazakhstan,1284.0693493150684,0.9531521739130435,24055.588,52.24228837209302,795678.2784349408,19397998.0
